GenBank_id;country
AP011034.1;NA
AP011035.1;NA
AP011036.1;NA
AP011037.1;NA
AP011038.1;NA
AP011039.1;NA
AP011040.1;NA
AP011041.1;NA
AP011042.1;NA
AP011043.1;NA
AP011044.1;NA
AP011045.1;NA
AP011046.1;NA
AP011047.1;NA
AP011048.1;NA
AP011049.1;NA
AP011050.1;NA
AP011051.1;NA
AP011052.1;NA
AP011053.1;NA
AP011054.1;NA
AP011055.1;NA
AP011056.1;NA
AP011057.1;NA
AP011058.1;NA
AP011059.1;NA
AP012346.1;NA
AP012347.1;NA
AP012348.1;NA
AP012349.1;NA
AP012350.1;NA
AP012351.1;NA
AP012352.1;NA
AP012353.1;NA
AP012354.1;NA
AP012355.1;NA
AP012356.1;NA
AP012357.1;NA
AP012358.1;NA
AP012359.1;NA
AP012360.1;NA
AP012361.1;NA
AP012362.1;NA
AP012363.1;NA
AP012364.1;NA
AP012365.1;NA
AP012366.1;NA
AP012367.1;NA
AP012368.1;NA
AP012369.1;NA
AP012370.1;NA
AP012371.1;NA
AP012372.1;NA
AP012373.1;NA
AP012374.1;NA
AP012375.1;NA
AP012376.1;NA
AP012377.1;NA
AP012378.1;NA
AP012379.1;NA
AP012380.1;NA
AP012381.1;NA
AP012382.1;NA
AP012383.1;NA
AP012384.1;NA
AP012385.1;NA
AP012386.1;NA
AP012387.1;NA
AP012388.1;NA
AP012389.1;NA
AP012390.1;NA
AP012391.1;NA
AP012392.1;NA
AP012393.1;NA
AP012394.1;NA
AP012395.1;NA
AP012396.1;NA
AP012397.1;NA
AP012398.1;NA
AP012399.1;NA
AP012400.1;NA
AP012401.1;NA
AP012402.1;NA
AP012403.1;NA
AP012404.1;NA
AP012405.1;NA
AP012406.1;NA
AP012407.1;NA
AP012408.1;NA
AP012409.1;NA
AP012410.1;NA
AP012411.1;NA
AP012412.1;NA
AP012413.1;NA
AP012414.1;NA
AP012415.1;NA
AP012416.1;NA
AP012417.1;NA
AP012418.1;NA
AP012419.1;NA
AP012420.1;NA
AP012421.1;NA
AP012422.1;NA
AP012423.1;NA
AP012424.1;NA
AP012425.1;NA
AP012426.1;NA
AP012427.1;NA
AP012428.1;NA
AP012429.1;NA
AP012430.1;NA
AP012431.1;NA
AP013108.1;NA
AP013109.1;NA
AP013110.1;NA
AP013111.1;NA
AP013112.1;NA
AP013113.1;NA
AP013114.1;NA
AP013115.1;NA
AP013116.1;NA
AP013117.1;NA
AP013118.1;NA
AP013119.1;NA
AP013120.1;NA
AP013121.1;NA
AP013122.1;NA
AP013123.1;NA
AP013124.1;NA
AP013125.1;NA
AP013126.1;NA
AP013127.1;NA
AP013128.1;NA
AP013129.1;NA
AP013130.1;NA
AP013131.1;NA
AP013132.1;NA
AP013133.1;NA
AP013134.1;NA
AP013135.1;NA
AP013136.1;NA
AP013137.1;NA
AP013138.1;NA
AP013139.1;NA
AP013140.1;NA
AP013141.1;NA
AP013142.1;NA
AP013143.1;NA
AP013144.1;NA
AP013145.1;NA
AP013146.1;NA
AP013147.1;NA
AP013148.1;NA
AP013149.1;NA
AP013150.1;NA
AP013151.1;NA
AP013152.1;NA
AP013153.1;NA
AP013154.1;NA
AP013155.1;NA
AP013156.1;NA
AP013157.1;NA
AP013158.1;NA
AP013159.1;NA
AP013160.1;NA
AP013161.1;NA
AP013162.1;NA
AP013163.1;NA
AP013164.1;NA
AP013165.1;NA
AP013166.1;NA
AP013167.1;NA
AP013168.1;NA
AP013169.1;NA
AP013170.1;NA
AP013171.1;NA
AP013172.1;NA
AP013173.1;NA
AP013174.1;NA
AP013175.1;NA
AP013176.1;NA
AP013177.1;NA
AP013178.1;NA
AP013179.1;NA
AP013180.1;NA
AP013181.1;NA
AP013182.1;NA
AP013183.1;NA
AP013184.1;NA
AP013185.1;NA
AP013186.1;NA
AP013187.1;NA
AP013188.1;NA
AP013189.1;NA
AP013190.1;NA
AP013191.1;NA
AP013192.1;NA
AP013193.1;NA
AP013194.1;NA
AP013195.1;NA
AP013196.1;NA
AP013197.1;NA
AP013198.1;NA
AP013199.1;NA
AP013200.1;NA
AP013201.1;NA
AP013202.1;NA
AP013203.1;NA
AP013204.1;NA
AP013205.1;NA
AP013206.1;NA
AP013207.1;NA
AP013208.1;NA
AP013209.1;NA
AP013210.1;NA
AP013211.1;NA
AP013212.1;NA
AP013213.1;NA
AP013214.1;NA
AP013215.1;NA
AP013216.1;NA
AP013217.1;NA
AP013218.1;NA
AP013219.1;NA
AP013220.1;NA
AP013221.1;NA
AP013222.1;NA
AP013223.1;NA
AP013224.1;NA
AP013225.1;NA
AP013226.1;NA
AP013227.1;NA
AP013228.1;NA
AP013229.1;NA
AP013230.1;NA
AP013231.1;NA
AP013232.1;NA
AP013233.1;NA
AP013234.1;NA
AP013235.1;NA
AP013236.1;NA
AP013237.1;NA
AP013238.1;NA
AP013239.1;NA
AP013240.1;NA
AP013241.1;NA
AP013242.1;NA
AP013243.1;NA
AP013244.1;NA
AP013245.1;NA
AP013246.1;NA
AP013247.1;NA
AP013248.1;NA
AP013249.1;NA
AP013250.1;NA
AP013251.1;NA
