accession_number,technology,assembly
"MF381288.1","Illumina","BWA v. v0.5.10-evan"
"MF381287.1","Illumina","BWA v. v0.5.10-evan"
"MF177183.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177182.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177181.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177180.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177179.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177178.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177177.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177176.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177175.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177174.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177173.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177172.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177171.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177170.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177169.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177168.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177167.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177166.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177165.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177164.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177163.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177162.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177161.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177160.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"OP682197.1","Illumina","bwa v. 0.7.17"
"OP682196.1","Illumina","bwa v. 0.7.17"
"OP682195.1","Illumina","bwa v. 0.7.17"
"OP682194.1","Illumina","bwa v. 0.7.17"
"OP682193.1","Illumina","bwa v. 0.7.17"
"OP682192.1","Illumina","bwa v. 0.7.17"
"OP682191.1","Illumina","bwa v. 0.7.17"
"OP682190.1","Illumina","bwa v. 0.7.17"
"OP682189.1","Illumina","bwa v. 0.7.17"
"OP682188.1","Illumina","bwa v. 0.7.17"
"OP682187.1","Illumina","bwa v. 0.7.17"
"OP682186.1","Illumina","bwa v. 0.7.17"
"OP682185.1","Illumina","bwa v. 0.7.17"
"OP682184.1","Illumina","bwa v. 0.7.17"
"OP682183.1","Illumina","bwa v. 0.7.17"
"OP682182.1","Illumina","bwa v. 0.7.17"
"OP682181.1","Illumina","bwa v. 0.7.17"
"OP682180.1","Illumina","bwa v. 0.7.17"
"OP682179.1","Illumina","bwa v. 0.7.17"
"OP682178.1","Illumina","bwa v. 0.7.17"
"MF177159.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177158.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177157.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177156.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
