accession_number,technology,assembly
"JX120747.1","NA","NA"
"JX120746.1","NA","NA"
"JX120745.1","NA","NA"
"JX120744.1","NA","NA"
"JX120743.1","NA","NA"
"JX120742.1","NA","NA"
"JX120741.1","NA","NA"
"JX120740.1","NA","NA"
"JX120739.1","NA","NA"
"JX120738.1","NA","NA"
"JX120737.1","NA","NA"
"JX120736.1","NA","NA"
"JX120735.1","NA","NA"
"JX120734.1","NA","NA"
"JX120733.1","NA","NA"
"JX120732.1","NA","NA"
"JX120731.1","NA","NA"
"JX120730.1","NA","NA"
"JX120729.1","NA","NA"
"JX120728.1","NA","NA"
"JX120727.1","NA","NA"
"JX120726.1","NA","NA"
"JX120725.1","NA","NA"
"JX120724.1","NA","NA"
"JX120723.1","NA","NA"
"JX120722.1","NA","NA"
"JX120721.1","NA","NA"
"JX120720.1","NA","NA"
"JX120719.1","NA","NA"
"JX120718.1","NA","NA"
"JX120717.1","NA","NA"
"JX120716.1","NA","NA"
"JX120715.1","NA","NA"
"JX120714.1","NA","NA"
"JX120713.1","NA","NA"
"JX120712.1","NA","NA"
"JX120711.1","NA","NA"
"JX120710.1","NA","NA"
"JX120709.1","NA","NA"
"JX120708.1","NA","NA"
"KM005732.1","NA","NA"
"KJ994345.1","NA","NA"
"KJ999728.1","NA","NA"
"KJ994344.1","NA","NA"
"KM005731.1","NA","NA"
"KJ949141.1","NA","NA"
"KJ957936.1","NA","NA"
"KJ941333.1","NA","NA"
"KJ939972.1","NA","NA"
"KJ957937.1","NA","NA"
"KJ831815.1","NA","NA"
"KJ186009.1","Illumina","BWA v. 2009"
"KJ186008.1","Illumina","BWA v. 2009"
"KJ186007.1","Illumina","BWA v. 2009"
"KJ186006.1","Illumina","BWA v. 2009"
"KJ186005.1","Illumina","BWA v. 2009"
"KJ186004.1","Illumina","BWA v. 2009"
"KJ186003.1","Illumina","BWA v. 2009"
"KJ186002.1","Illumina","BWA v. 2009"
"KJ186001.1","Illumina","BWA v. 2009"
"KJ186000.1","Illumina","BWA v. 2009"
"KJ185999.1","Illumina","BWA v. 2009"
"KJ185998.1","Illumina","BWA v. 2009"
"KJ185997.1","Illumina","BWA v. 2009"
"KJ185996.1","Illumina","BWA v. 2009"
"KJ185995.1","Illumina","BWA v. 2009"
"KJ185994.1","Illumina","BWA v. 2009"
"KJ185993.1","Illumina","BWA v. 2009"
"KJ185992.1","Illumina","BWA v. 2009"
"KJ185991.1","Illumina","BWA v. 2009"
"KJ185990.1","Illumina","BWA v. 2009"
"KJ185989.1","Illumina","BWA v. 2009"
"KJ185988.1","Illumina","BWA v. 2009"
"KJ185987.1","Illumina","BWA v. 2009"
"KJ185986.1","Illumina","BWA v. 2009"
"KJ185985.1","Illumina","BWA v. 2009"
"KJ185984.1","Illumina","BWA v. 2009"
"KJ185983.1","Illumina","BWA v. 2009"
"KJ185982.1","Illumina","BWA v. 2009"
"KJ185981.1","Illumina","BWA v. 2009"
"KJ185980.1","Illumina","BWA v. 2009"
"KJ185979.1","Illumina","BWA v. 2009"
"KJ185978.1","Illumina","BWA v. 2009"
"KJ185977.1","Illumina","BWA v. 2009"
"KJ185976.1","Illumina","BWA v. 2009"
"KJ185975.1","Illumina","BWA v. 2009"
"KJ185974.1","Illumina","BWA v. 2009"
"KJ185973.1","Illumina","BWA v. 2009"
"KJ185972.1","Illumina","BWA v. 2009"
"KJ185971.1","Illumina","BWA v. 2009"
"KJ185970.1","Illumina","BWA v. 2009"
"KJ185969.1","Illumina","BWA v. 2009"
"KJ185968.1","Illumina","BWA v. 2009"
"KJ185967.1","Illumina","BWA v. 2009"
"KJ185966.1","Illumina","BWA v. 2009"
"KJ185965.1","Illumina","BWA v. 2009"
"KJ185964.1","Illumina","BWA v. 2009"
"KJ185963.1","Illumina","BWA v. 2009"
"KJ185962.1","Illumina","BWA v. 2009"
"KJ185961.1","Illumina","BWA v. 2009"
"KJ185960.1","Illumina","BWA v. 2009"
"KJ185959.1","Illumina","BWA v. 2009"
"KJ185958.1","Illumina","BWA v. 2009"
"KJ185957.1","Illumina","BWA v. 2009"
"KJ185956.1","Illumina","BWA v. 2009"
"KJ185955.1","Illumina","BWA v. 2009"
"KJ185954.1","Illumina","BWA v. 2009"
"KJ185953.1","Illumina","BWA v. 2009"
"KJ185952.1","Illumina","BWA v. 2009"
"KJ185951.1","Illumina","BWA v. 2009"
"KJ185950.1","Illumina","BWA v. 2009"
"KJ185949.1","Illumina","BWA v. 2009"
"KJ185948.1","Illumina","BWA v. 2009"
"KJ185947.1","Illumina","BWA v. 2009"
"KJ185946.1","Illumina","BWA v. 2009"
"KJ185945.1","Illumina","BWA v. 2009"
"KJ185944.1","Illumina","BWA v. 2009"
"KJ185943.1","Illumina","BWA v. 2009"
"KJ185942.1","Illumina","BWA v. 2009"
"KJ185941.1","Illumina","BWA v. 2009"
"KJ185940.1","Illumina","BWA v. 2009"
"KJ185939.1","Illumina","BWA v. 2009"
"KJ185938.1","Illumina","BWA v. 2009"
"KJ185937.1","Illumina","BWA v. 2009"
"KJ185936.1","Illumina","BWA v. 2009"
"KJ185935.1","Illumina","BWA v. 2009"
"KJ185934.1","Illumina","BWA v. 2009"
"KJ185933.1","Illumina","BWA v. 2009"
"KJ185932.1","Illumina","BWA v. 2009"
"KJ185931.1","Illumina","BWA v. 2009"
"KJ185930.1","Illumina","BWA v. 2009"
"KJ185929.1","Illumina","BWA v. 2009"
"KJ185928.1","Illumina","BWA v. 2009"
"KJ185927.1","Illumina","BWA v. 2009"
"KJ185926.1","Illumina","BWA v. 2009"
"KJ185925.1","Illumina","BWA v. 2009"
"KJ185924.1","Illumina","BWA v. 2009"
"KJ185923.1","Illumina","BWA v. 2009"
"KJ185922.1","Illumina","BWA v. 2009"
"KJ185921.1","Illumina","BWA v. 2009"
"KJ185920.1","Illumina","BWA v. 2009"
"KJ185919.1","Illumina","BWA v. 2009"
"KJ185918.1","Illumina","BWA v. 2009"
"KJ185917.1","Illumina","BWA v. 2009"
"KJ185916.1","Illumina","BWA v. 2009"
"KJ185915.1","Illumina","BWA v. 2009"
"KJ185914.1","Illumina","BWA v. 2009"
"KJ185913.1","Illumina","BWA v. 2009"
"KJ185912.1","Illumina","BWA v. 2009"
"KJ185911.1","Illumina","BWA v. 2009"
"KJ185910.1","Illumina","BWA v. 2009"
"KJ185909.1","Illumina","BWA v. 2009"
"KJ185908.1","Illumina","BWA v. 2009"
"KJ185907.1","Illumina","BWA v. 2009"
"KJ185906.1","Illumina","BWA v. 2009"
"KJ185905.1","Illumina","BWA v. 2009"
"KJ185904.1","Illumina","BWA v. 2009"
"KJ185903.1","Illumina","BWA v. 2009"
"KJ185902.1","Illumina","BWA v. 2009"
"KJ185901.1","Illumina","BWA v. 2009"
"KJ185900.1","Illumina","BWA v. 2009"
"KJ185899.1","Illumina","BWA v. 2009"
"KJ185898.1","Illumina","BWA v. 2009"
"KJ185897.1","Illumina","BWA v. 2009"
"OL638729.1","Illumina","BWA-MEM v. 0.7.17"
"OL638728.1","Illumina","BWA-MEM v. 0.7.17"
"OL638727.1","Illumina","BWA-MEM v. 0.7.17"
"OL638726.1","Illumina","BWA-MEM v. 0.7.17"
"OL638725.1","Illumina","BWA-MEM v. 0.7.17"
"OL638724.1","Illumina","BWA-MEM v. 0.7.17"
"OL638723.1","Illumina","BWA-MEM v. 0.7.17"
"OL638722.1","Illumina","BWA-MEM v. 0.7.17"
"OL638721.1","Illumina","BWA-MEM v. 0.7.17"
"OL638720.1","Illumina","BWA-MEM v. 0.7.17"
"OL638719.1","Illumina","BWA-MEM v. 0.7.17"
"OL638718.1","Illumina","BWA-MEM v. 0.7.17"
"OL638717.1","Illumina","BWA-MEM v. 0.7.17"
"OL638716.1","Illumina","BWA-MEM v. 0.7.17"
"OL638715.1","Illumina","BWA-MEM v. 0.7.17"
"OL638714.1","Illumina","BWA-MEM v. 0.7.17"
"OL638713.1","Illumina","BWA-MEM v. 0.7.17"
"OL638712.1","Illumina","BWA-MEM v. 0.7.17"
"OL638711.1","Illumina","BWA-MEM v. 0.7.17"
"OL638710.1","Illumina","BWA-MEM v. 0.7.17"
"MT454380.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454379.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454378.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454377.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454376.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454375.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454374.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454373.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454372.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454371.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454370.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454369.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454368.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454367.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454366.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454365.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454364.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454363.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454362.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"MT454361.1","Sanger dideoxy sequencing","Sequencher v. 5.4"
"KJ185896.1","Illumina","BWA v. 2009"
"KJ185895.1","Illumina","BWA v. 2009"
"KJ185894.1","Illumina","BWA v. 2009"
"KJ185893.1","Illumina","BWA v. 2009"
"KJ185892.1","Illumina","BWA v. 2009"
"KJ185891.1","Illumina","BWA v. 2009"
"KJ185890.1","Illumina","BWA v. 2009"
"KJ185889.1","Illumina","BWA v. 2009"
"KJ185888.1","Illumina","BWA v. 2009"
"KJ185887.1","Illumina","BWA v. 2009"
"KJ185886.1","Illumina","BWA v. 2009"
"KJ185885.1","Illumina","BWA v. 2009"
"KJ185884.1","Illumina","BWA v. 2009"
"KJ185883.1","Illumina","BWA v. 2009"
"KJ185882.1","Illumina","BWA v. 2009"
"KJ185881.1","Illumina","BWA v. 2009"
"KJ185880.1","Illumina","BWA v. 2009"
"KJ185879.1","Illumina","BWA v. 2009"
"KJ185878.1","Illumina","BWA v. 2009"
"KJ185877.1","Illumina","BWA v. 2009"
"KJ185876.1","Illumina","BWA v. 2009"
"KJ185875.1","Illumina","BWA v. 2009"
"KJ185874.1","Illumina","BWA v. 2009"
"KJ185873.1","Illumina","BWA v. 2009"
"KJ185872.1","Illumina","BWA v. 2009"
"KJ185871.1","Illumina","BWA v. 2009"
"KJ185870.1","Illumina","BWA v. 2009"
"KJ185869.1","Illumina","BWA v. 2009"
"KJ185868.1","Illumina","BWA v. 2009"
"KJ185867.1","Illumina","BWA v. 2009"
"KJ185866.1","Illumina","BWA v. 2009"
"KJ185865.1","Illumina","BWA v. 2009"
"KJ185864.1","Illumina","BWA v. 2009"
"KJ185863.1","Illumina","BWA v. 2009"
"KJ185862.1","Illumina","BWA v. 2009"
"KJ185861.1","Illumina","BWA v. 2009"
"KJ185860.1","Illumina","BWA v. 2009"
"KJ185859.1","Illumina","BWA v. 2009"
"KJ185858.1","Illumina","BWA v. 2009"
"KJ185857.1","Illumina","BWA v. 2009"
"KJ185856.1","Illumina","BWA v. 2009"
"KJ185855.1","Illumina","BWA v. 2009"
"KJ185854.1","Illumina","BWA v. 2009"
"KJ185853.1","Illumina","BWA v. 2009"
"KJ185852.1","Illumina","BWA v. 2009"
"KJ185851.1","Illumina","BWA v. 2009"
"KJ185850.1","Illumina","BWA v. 2009"
"KJ185849.1","Illumina","BWA v. 2009"
"KJ185848.1","Illumina","BWA v. 2009"
"KJ185847.1","Illumina","BWA v. 2009"
"KJ185846.1","Illumina","BWA v. 2009"
"KJ185845.1","Illumina","BWA v. 2009"
"KJ185844.1","Illumina","BWA v. 2009"
"KJ185843.1","Illumina","BWA v. 2009"
"KJ185842.1","Illumina","BWA v. 2009"
"KJ185841.1","Illumina","BWA v. 2009"
"KJ185840.1","Illumina","BWA v. 2009"
"KJ185839.1","Illumina","BWA v. 2009"
"KJ185838.1","Illumina","BWA v. 2009"
"KJ185837.1","Illumina","BWA v. 2009"
"KJ185836.1","Illumina","BWA v. 2009"
"KJ185835.1","Illumina","BWA v. 2009"
"KJ185834.1","Illumina","BWA v. 2009"
"KJ185833.1","Illumina","BWA v. 2009"
"KJ185832.1","Illumina","BWA v. 2009"
"KJ185831.1","Illumina","BWA v. 2009"
"KJ185830.1","Illumina","BWA v. 2009"
"KJ185829.1","Illumina","BWA v. 2009"
"KJ185828.1","Illumina","BWA v. 2009"
"KJ185827.1","Illumina","BWA v. 2009"
"KJ185826.1","Illumina","BWA v. 2009"
"KJ185825.1","Illumina","BWA v. 2009"
"KJ185824.1","Illumina","BWA v. 2009"
"KJ185823.1","Illumina","BWA v. 2009"
"KJ185822.1","Illumina","BWA v. 2009"
"KJ185821.1","Illumina","BWA v. 2009"
"KJ185820.1","Illumina","BWA v. 2009"
"KJ185819.1","Illumina","BWA v. 2009"
"KJ185818.1","Illumina","BWA v. 2009"
"KJ185817.1","Illumina","BWA v. 2009"
"KJ185816.1","Illumina","BWA v. 2009"
"KJ185815.1","Illumina","BWA v. 2009"
"KJ185814.1","Illumina","BWA v. 2009"
"KJ185813.1","Illumina","BWA v. 2009"
"KJ185812.1","Illumina","BWA v. 2009"
"KJ185811.1","Illumina","BWA v. 2009"
"KJ185810.1","Illumina","BWA v. 2009"
"KJ185809.1","Illumina","BWA v. 2009"
"KJ185808.1","Illumina","BWA v. 2009"
"KJ185807.1","Illumina","BWA v. 2009"
"KJ185806.1","Illumina","BWA v. 2009"
"KJ185805.1","Illumina","BWA v. 2009"
"KJ185804.1","Illumina","BWA v. 2009"
"KJ185803.1","Illumina","BWA v. 2009"
"KJ185802.1","Illumina","BWA v. 2009"
"KJ185801.1","Illumina","BWA v. 2009"
"KJ185800.1","Illumina","BWA v. 2009"
"KJ185799.1","Illumina","BWA v. 2009"
"KJ185798.1","Illumina","BWA v. 2009"
"KJ185797.1","Illumina","BWA v. 2009"
"KJ185796.1","Illumina","BWA v. 2009"
"KJ185795.1","Illumina","BWA v. 2009"
"KJ185794.1","Illumina","BWA v. 2009"
"KJ185793.1","Illumina","BWA v. 2009"
"KJ185792.1","Illumina","BWA v. 2009"
"KJ185791.1","Illumina","BWA v. 2009"
"KJ185790.1","Illumina","BWA v. 2009"
"KJ185789.1","Illumina","BWA v. 2009"
"KJ185788.1","Illumina","BWA v. 2009"
"KJ185787.1","Illumina","BWA v. 2009"
"KJ185786.1","Illumina","BWA v. 2009"
"KJ185785.1","Illumina","BWA v. 2009"
"KJ185784.1","Illumina","BWA v. 2009"
"KJ185783.1","Illumina","BWA v. 2009"
"KJ185782.1","Illumina","BWA v. 2009"
"KJ185781.1","Illumina","BWA v. 2009"
"KJ185780.1","Illumina","BWA v. 2009"
"KJ185779.1","Illumina","BWA v. 2009"
"KJ185778.1","Illumina","BWA v. 2009"
"KJ185777.1","Illumina","BWA v. 2009"
"KJ185776.1","Illumina","BWA v. 2009"
"KJ185775.1","Illumina","BWA v. 2009"
"KJ185774.1","Illumina","BWA v. 2009"
"KJ185773.1","Illumina","BWA v. 2009"
"KJ185772.1","Illumina","BWA v. 2009"
"KJ185771.1","Illumina","BWA v. 2009"
"KJ185770.1","Illumina","BWA v. 2009"
"KJ185769.1","Illumina","BWA v. 2009"
"KJ185768.1","Illumina","BWA v. 2009"
"KJ185767.1","Illumina","BWA v. 2009"
"KJ185766.1","Illumina","BWA v. 2009"
"KJ185765.1","Illumina","BWA v. 2009"
"KJ185764.1","Illumina","BWA v. 2009"
"KJ185763.1","Illumina","BWA v. 2009"
"KJ185762.1","Illumina","BWA v. 2009"
"KJ185761.1","Illumina","BWA v. 2009"
"KJ185760.1","Illumina","BWA v. 2009"
"KJ185759.1","Illumina","BWA v. 2009"
"KJ185758.1","Illumina","BWA v. 2009"
"KJ185757.1","Illumina","BWA v. 2009"
"KJ185756.1","Illumina","BWA v. 2009"
"KJ185755.1","Illumina","BWA v. 2009"
"KJ185754.1","Illumina","BWA v. 2009"
"KJ185753.1","Illumina","BWA v. 2009"
"KJ185752.1","Illumina","BWA v. 2009"
"KJ185751.1","Illumina","BWA v. 2009"
"KJ185750.1","Illumina","BWA v. 2009"
"KJ185749.1","Illumina","BWA v. 2009"
"KJ185748.1","Illumina","BWA v. 2009"
"KJ185747.1","Illumina","BWA v. 2009"
"KJ185746.1","Illumina","BWA v. 2009"
"KJ185745.1","Illumina","BWA v. 2009"
"KJ185744.1","Illumina","BWA v. 2009"
"KJ185743.1","Illumina","BWA v. 2009"
"KJ185742.1","Illumina","BWA v. 2009"
"KJ185741.1","Illumina","BWA v. 2009"
"KJ185740.1","Illumina","BWA v. 2009"
"KJ185739.1","Illumina","BWA v. 2009"
"KJ185738.1","Illumina","BWA v. 2009"
"KJ185737.1","Illumina","BWA v. 2009"
"KJ185736.1","Illumina","BWA v. 2009"
"KJ185735.1","Illumina","BWA v. 2009"
"KJ185734.1","Illumina","BWA v. 2009"
"KJ185733.1","Illumina","BWA v. 2009"
"KJ185732.1","Illumina","BWA v. 2009"
"KJ185731.1","Illumina","BWA v. 2009"
"KJ185730.1","Illumina","BWA v. 2009"
"KJ185729.1","Illumina","BWA v. 2009"
"KJ185728.1","Illumina","BWA v. 2009"
"KJ185727.1","Illumina","BWA v. 2009"
"KJ185726.1","Illumina","BWA v. 2009"
"KJ185725.1","Illumina","BWA v. 2009"
"KJ185724.1","Illumina","BWA v. 2009"
"KJ185723.1","Illumina","BWA v. 2009"
"KJ185722.1","Illumina","BWA v. 2009"
"KJ185721.1","Illumina","BWA v. 2009"
"KJ185720.1","Illumina","BWA v. 2009"
"KJ185719.1","Illumina","BWA v. 2009"
"KJ185718.1","Illumina","BWA v. 2009"
"KJ185717.1","Illumina","BWA v. 2009"
"KJ185716.1","Illumina","BWA v. 2009"
"KJ185715.1","Illumina","BWA v. 2009"
"KJ185714.1","Illumina","BWA v. 2009"
"KJ185713.1","Illumina","BWA v. 2009"
"KJ185712.1","Illumina","BWA v. 2009"
"KJ185711.1","Illumina","BWA v. 2009"
"KJ185710.1","Illumina","BWA v. 2009"
"KJ185709.1","Illumina","BWA v. 2009"
"KJ185708.1","Illumina","BWA v. 2009"
"KJ185707.1","Illumina","BWA v. 2009"
"KJ185706.1","Illumina","BWA v. 2009"
"KJ185705.1","Illumina","BWA v. 2009"
"KJ185704.1","Illumina","BWA v. 2009"
"KJ185703.1","Illumina","BWA v. 2009"
"KJ185702.1","Illumina","BWA v. 2009"
"KJ185701.1","Illumina","BWA v. 2009"
"KJ185700.1","Illumina","BWA v. 2009"
"KJ185699.1","Illumina","BWA v. 2009"
"KJ185698.1","Illumina","BWA v. 2009"
"KJ185697.1","Illumina","BWA v. 2009"
"OL638709.1","Illumina","BWA-MEM v. 0.7.17"
"OL638708.1","Illumina","BWA-MEM v. 0.7.17"
"OL638707.1","Illumina","BWA-MEM v. 0.7.17"
"OL638706.1","Illumina","BWA-MEM v. 0.7.17"
"OL638705.1","Illumina","BWA-MEM v. 0.7.17"
"OL638704.1","Illumina","BWA-MEM v. 0.7.17"
"OL638703.1","Illumina","BWA-MEM v. 0.7.17"
"OL638702.1","Illumina","BWA-MEM v. 0.7.17"
"OL638701.1","Illumina","BWA-MEM v. 0.7.17"
"OL638700.1","Illumina","BWA-MEM v. 0.7.17"
"OL638699.1","Illumina","BWA-MEM v. 0.7.17"
"OL638698.1","Illumina","BWA-MEM v. 0.7.17"
"OL638697.1","Illumina","BWA-MEM v. 0.7.17"
"OL638696.1","Illumina","BWA-MEM v. 0.7.17"
"OL638695.1","Illumina","BWA-MEM v. 0.7.17"
"OL638694.1","Illumina","BWA-MEM v. 0.7.17"
"OL638693.1","Illumina","BWA-MEM v. 0.7.17"
"OL638692.1","Illumina","BWA-MEM v. 0.7.17"
"OL638691.1","Illumina","BWA-MEM v. 0.7.17"
"OL638690.1","Illumina","BWA-MEM v. 0.7.17"
"KJ185696.1","Illumina","BWA v. 2009"
"KJ185695.1","Illumina","BWA v. 2009"
"KJ185694.1","Illumina","BWA v. 2009"
"KJ185693.1","Illumina","BWA v. 2009"
"KJ185692.1","Illumina","BWA v. 2009"
"KJ185691.1","Illumina","BWA v. 2009"
"KJ185690.1","Illumina","BWA v. 2009"
"KJ185689.1","Illumina","BWA v. 2009"
"KJ185688.1","Illumina","BWA v. 2009"
"KJ185687.1","Illumina","BWA v. 2009"
"KJ185686.1","Illumina","BWA v. 2009"
"KJ185685.1","Illumina","BWA v. 2009"
"KJ185684.1","Illumina","BWA v. 2009"
"KJ185683.1","Illumina","BWA v. 2009"
"KJ185682.1","Illumina","BWA v. 2009"
"KJ185681.1","Illumina","BWA v. 2009"
"KJ185680.1","Illumina","BWA v. 2009"
"KJ185679.1","Illumina","BWA v. 2009"
"KJ185678.1","Illumina","BWA v. 2009"
"KJ185677.1","Illumina","BWA v. 2009"
"KJ185676.1","Illumina","BWA v. 2009"
"KJ185675.1","Illumina","BWA v. 2009"
"KJ185674.1","Illumina","BWA v. 2009"
"KJ185673.1","Illumina","BWA v. 2009"
"KJ185672.1","Illumina","BWA v. 2009"
"KJ185671.1","Illumina","BWA v. 2009"
"KJ185670.1","Illumina","BWA v. 2009"
"KJ185669.1","Illumina","BWA v. 2009"
"KJ185668.1","Illumina","BWA v. 2009"
"KJ185667.1","Illumina","BWA v. 2009"
"KJ185666.1","Illumina","BWA v. 2009"
"KJ185665.1","Illumina","BWA v. 2009"
"KJ185664.1","Illumina","BWA v. 2009"
"KJ185663.1","Illumina","BWA v. 2009"
"KJ185662.1","Illumina","BWA v. 2009"
"KJ185661.1","Illumina","BWA v. 2009"
"KJ185660.1","Illumina","BWA v. 2009"
"KJ185659.1","Illumina","BWA v. 2009"
"KJ185658.1","Illumina","BWA v. 2009"
"KJ185657.1","Illumina","BWA v. 2009"
"KJ185656.1","Illumina","BWA v. 2009"
"KJ185655.1","Illumina","BWA v. 2009"
"KJ185654.1","Illumina","BWA v. 2009"
"KJ185653.1","Illumina","BWA v. 2009"
"KJ185652.1","Illumina","BWA v. 2009"
"KJ185651.1","Illumina","BWA v. 2009"
"KJ185650.1","Illumina","BWA v. 2009"
"KJ185649.1","Illumina","BWA v. 2009"
"KJ185648.1","Illumina","BWA v. 2009"
"KJ185647.1","Illumina","BWA v. 2009"
"KJ185646.1","Illumina","BWA v. 2009"
"KJ185645.1","Illumina","BWA v. 2009"
"KJ185644.1","Illumina","BWA v. 2009"
"KJ185643.1","Illumina","BWA v. 2009"
"KJ185642.1","Illumina","BWA v. 2009"
"KJ185641.1","Illumina","BWA v. 2009"
"KJ185640.1","Illumina","BWA v. 2009"
"KJ185639.1","Illumina","BWA v. 2009"
"KJ185638.1","Illumina","BWA v. 2009"
"KJ185637.1","Illumina","BWA v. 2009"
"KJ185636.1","Illumina","BWA v. 2009"
"KJ185635.1","Illumina","BWA v. 2009"
"KJ185634.1","Illumina","BWA v. 2009"
"KJ185633.1","Illumina","BWA v. 2009"
"KJ185632.1","Illumina","BWA v. 2009"
"KJ185631.1","Illumina","BWA v. 2009"
"KJ185630.1","Illumina","BWA v. 2009"
"KJ185629.1","Illumina","BWA v. 2009"
"KJ185628.1","Illumina","BWA v. 2009"
"KJ185627.1","Illumina","BWA v. 2009"
"KJ185626.1","Illumina","BWA v. 2009"
"KJ185625.1","Illumina","BWA v. 2009"
"KJ185624.1","Illumina","BWA v. 2009"
"KJ185623.1","Illumina","BWA v. 2009"
"KJ185622.1","Illumina","BWA v. 2009"
"KJ185621.1","Illumina","BWA v. 2009"
"KJ185620.1","Illumina","BWA v. 2009"
"KJ185619.1","Illumina","BWA v. 2009"
"KJ185618.1","Illumina","BWA v. 2009"
"KJ185617.1","Illumina","BWA v. 2009"
"KJ185616.1","Illumina","BWA v. 2009"
"KJ185615.1","Illumina","BWA v. 2009"
"KJ185614.1","Illumina","BWA v. 2009"
"KJ185613.1","Illumina","BWA v. 2009"
"KJ185612.1","Illumina","BWA v. 2009"
"KJ185611.1","Illumina","BWA v. 2009"
"KJ185610.1","Illumina","BWA v. 2009"
"KJ185609.1","Illumina","BWA v. 2009"
"KJ185608.1","Illumina","BWA v. 2009"
"KJ185607.1","Illumina","BWA v. 2009"
"KJ185606.1","Illumina","BWA v. 2009"
"KJ185605.1","Illumina","BWA v. 2009"
"KJ185604.1","Illumina","BWA v. 2009"
"KJ185603.1","Illumina","BWA v. 2009"
"KJ185602.1","Illumina","BWA v. 2009"
"KJ185601.1","Illumina","BWA v. 2009"
"KJ185600.1","Illumina","BWA v. 2009"
"KJ185599.1","Illumina","BWA v. 2009"
"KJ185598.1","Illumina","BWA v. 2009"
"KJ185597.1","Illumina","BWA v. 2009"
"KJ185596.1","Illumina","BWA v. 2009"
"KJ185595.1","Illumina","BWA v. 2009"
"KJ185594.1","Illumina","BWA v. 2009"
"KJ185593.1","Illumina","BWA v. 2009"
"KJ185592.1","Illumina","BWA v. 2009"
"KJ185591.1","Illumina","BWA v. 2009"
"KJ185590.1","Illumina","BWA v. 2009"
"KJ185589.1","Illumina","BWA v. 2009"
"KJ185588.1","Illumina","BWA v. 2009"
"KJ185587.1","Illumina","BWA v. 2009"
"KJ185586.1","Illumina","BWA v. 2009"
"KJ185585.1","Illumina","BWA v. 2009"
"KJ185584.1","Illumina","BWA v. 2009"
"KJ185583.1","Illumina","BWA v. 2009"
"KJ185582.1","Illumina","BWA v. 2009"
"KJ185581.1","Illumina","BWA v. 2009"
"KJ185580.1","Illumina","BWA v. 2009"
"KJ185579.1","Illumina","BWA v. 2009"
"KJ185578.1","Illumina","BWA v. 2009"
"KJ185577.1","Illumina","BWA v. 2009"
"KJ185576.1","Illumina","BWA v. 2009"
"KJ185575.1","Illumina","BWA v. 2009"
"KJ185574.1","Illumina","BWA v. 2009"
"KJ185573.1","Illumina","BWA v. 2009"
"KJ185572.1","Illumina","BWA v. 2009"
"KJ185571.1","Illumina","BWA v. 2009"
"KJ185570.1","Illumina","BWA v. 2009"
"KJ185569.1","Illumina","BWA v. 2009"
"KJ185568.1","Illumina","BWA v. 2009"
"KJ185567.1","Illumina","BWA v. 2009"
"KJ185566.1","Illumina","BWA v. 2009"
"KJ185565.1","Illumina","BWA v. 2009"
"KJ185564.1","Illumina","BWA v. 2009"
"KJ185563.1","Illumina","BWA v. 2009"
"KJ185562.1","Illumina","BWA v. 2009"
"KJ185561.1","Illumina","BWA v. 2009"
"KJ185560.1","Illumina","BWA v. 2009"
"KJ185559.1","Illumina","BWA v. 2009"
"KJ185558.1","Illumina","BWA v. 2009"
"KJ185557.1","Illumina","BWA v. 2009"
"KJ185556.1","Illumina","BWA v. 2009"
"KJ185555.1","Illumina","BWA v. 2009"
"KJ185554.1","Illumina","BWA v. 2009"
"KJ185553.1","Illumina","BWA v. 2009"
"KJ185552.1","Illumina","BWA v. 2009"
"KJ185551.1","Illumina","BWA v. 2009"
"KJ185550.1","Illumina","BWA v. 2009"
"KJ185549.1","Illumina","BWA v. 2009"
"KJ185548.1","Illumina","BWA v. 2009"
"KJ185547.1","Illumina","BWA v. 2009"
"KJ185546.1","Illumina","BWA v. 2009"
"KJ185545.1","Illumina","BWA v. 2009"
"KJ185544.1","Illumina","BWA v. 2009"
"KJ185543.1","Illumina","BWA v. 2009"
"KJ185542.1","Illumina","BWA v. 2009"
"KJ185541.1","Illumina","BWA v. 2009"
"KJ185540.1","Illumina","BWA v. 2009"
"KJ185539.1","Illumina","BWA v. 2009"
