motif,profiles
L3d1a2,
L3d1b,
L3d1b1,
L3d1b1a,
L3d1b1b,
L3d1b2,NA19262
L3d1b3,
L3d1b3a,NA20294
L3d1c,
L3d1c1,
L3d1d,
L3d2,
L3d2a,
L3d2b,
L3d3,
L3d3a,
L3d3a1,NA19922
L3d3a1a,
L3d3a1b,
L3d3b,
L3d4,NA20317 NA20296
L3d4a,
L3d5,
L3d5a,NA19121
L3d6,NA18864
L3e'i'k'x,
L3e,
L3e1,NA19217 NA19168
L3e1a,
L3e1a1,
L3e1a1a,
L3e1a2,NA19371
L3e1a3,
L3e1a3a,NA19818 NA19035
L3e1a3b,NA19114
L3e1b,NA19141
L3e1b1,
L3e1b2,
L3e1c,
L3e1d,
L3e1d1,
L3e1d1a,
L3e1e,
L3e1e1,
L3e1e2,HG01170 HG01095 HG01073
L3e1f,
L3e1f1,
L3e1f1a,
L3e1f2,
L3e1g,
L3e2,
L3e2a,NA19921 NA19020
L3e2a1,
L3e2a1a,NA19704
L3e2a1b,NA19118 NA19092
L3e2a1b1,NA20278 NA19214 NA19196 NA18934 NA18499
L3e2a1b2,NA19195
L3e2a1b3,HG01456
L3e2a2,NA19162
L3e2a3,
L3e2b,NA19309 NA18853 NA18504
L3e2b1,
L3e2b1a,
L3e2b1a1,
L3e2b1a2,NA18502
L3e2b2,
L3e2b+152,NA20342 NA19700 NA19236 NA19235 NA19113
L3e2b3,NA19138
L3e2b4,
L3e2b5,NA19238
L3e2b6,NA19147
L3e2b7,
L3e2b8,NA19150 NA18488
L3e3'4'5,
L3e3'4,
L3e3,
L3e3a,
L3e3b,NA19900 NA19711 NA19260 NA19200 NA19171 NA18873
L3e3b1,NA19315
L3e3b2,NA19319
L3e3b3,
L3e4,
L3e4a,HG01551 NA20291 NA18909
L3e4a1,
L3e5,
L3e5a,
L3e5a1,
L3e5a1a,
L3e5b,
L3e5+195,
L3e5c,
L3e5d,
L3e5e,
L3e5f,
L3i,
L3i1,NA19437
L3i1a,
L3i1b,
L3i2,
L3k,
L3k1,
L3x,
L3x1,
L3x1a,
L3x1a1,NA19446
L3x1a2,NA19401
L3x1+16311,
L3x1b,
L3x2,
L3x2a,
L3x2a1,
L3x2a1a,
L3x2b,
L3h,
L3h1,
L3h1a,
L3h1a1,NA19457 NA19037
L3h1a2,
L3h1a2a,
L3h1a2a1,NA19377 NA19038
L3h1a2b,
L3h1b,
L3h1b1,
L3h1b1a,
L3h1b2,NA19920
L3h2,
M,
M1'20'51,
M1,
M1a,
M1a1,
M1a1a,
M1a1a1,
M1a1b,
M1a1b1,
M1a1b1a,
M1a1b1b,
M1a1b1b1,
M1a1b1c,
M1a1b2,
M1a1+16093,
M1a1c,
M1a1d,
M1a1e,
M1a1e1,
M1a1e2,
M1a1f,
M1a1g,
M1a1h,
M1a1i,HG01272
M1a2,
M1a2a,
M1a2b,
M1a3,
M1a3a,
M1a3b,
M1a3b1,
M1a3b2,
M1a4,
M1a4a,
M1a5,
M1a6,
M1a7,
M1a8,
M1a8a,
M1b,
M1b1,
M1b1a,
M1b1b,
M1b2,
M1b2a,
M1b2b,
M1b2c,
M20,
M51,
M51a,
M51a1,
M51a1a,
M51a1b,
M51a2,
M51b,
M51b1,
M51b1a,
M51b1b,
M2,
M2a'b,
M2a,
M2a1,
M2a1a,
M2a1a1,
M2a1a1a,
M2a1a1a1,
M2a1a1b,
M2a1a1b1,
M2a1a2,
M2a1a2a,
M2a1a2a1,
M2a1a2a1a,
M2a1a+207,
M2a1a3,
M2a1a3+16093,
M2a1a3a,
M2a1a3a1,
M2a1a3b,
M2a1b,
M2a1c,
M2a2,
M2a2a,
M2a3,
M2a3a,
M2b,
M2b1,
M2b1a,
M2b1b,
M2b2,
M2b3,
M2b3a,
M2b4,
M2c,
M3,
M3a,
M3a1,
M3a1+204,
M3a1a,
M3a1b,
M3a2,
M3a2a,
M3b,
M3c,
M3c+152,
M3c1,
M3c1a,
M3c1b,
M3c1b1,
M3c1b1a,
M3c1b1b,
M3c2,
M3d,
M3d1,
M3d1a,
M3d1a1,
M4'67,
M4'67+16311,
M4,
M4a,
M4b,
M65,
M65a,
M65a1,
M65a+@16311,
M65a2,
M65b,
M67,
M18'38,
M18,
M18a,
M18b,
M18c,
M38,
M38a,
M38+195,
M38b,
M38c,
M38+199,
M38d,
M38e,
M30,
M30a,
M30a1,
M30a2,
M30b,
M30c,
M30c1,
M30c1a,
M30c1a1,
M30d,
M30d1,
M30d2,
M30+16234,
M30e,
M30f,
M30g,
M37,
M37+152,
M37+152+151,
M37a,
M37a1,
M37d,
M37e,
M37e2,
M43,
M43+16311,
M43a,
M43a1,
M43b,
M45,
M45a,
M54,
M63,
M64,
M66,
M66a,
M66b,
M5,
M5a'd,
M5a,
M5a1,
M5a1a,
M5a1b,
M5a2,
M5a2a,
M5a2a1,
M5a2a1a,
M5a2a1a1,
M5a2a1a2,
M5a2a2,
M5a2a3,
M5a2a4,
M5a3,
M5a3a,
M5a3b,
M5a4,
M5a5,
M5d,
M5b'c,
M5b,
M5b1,
M5b2,
M5b2a,
M5b2b,
M5b2b1,
M5b2b1a,
M5c,
M5c1,
M5c2,
M6,
M6a,
M6a1,
M6a1a,
M6a1b,
M6a2,
M6b,
M7,
M7a,
M7a+16324,
M7a1,
M7a1a,
M7a1a1,
M7a1a1a,NA18999 NA18940
M7a1a2,
M7a1a3,
M7a1a4,
M7a1a4a,
M7a1a5,
M7a1a5a,NA18953
M7a1a6,
M7a1a6a,
M7a1a7,NA19573 NA19548
M7a1a8,NA18965
M7a1a9,NA19001
M7a1b,
M7a1b1,
M7a1b2,
M7a2,
M7a2a,
M7a2a1,
M7a2a2,
M7a2a3,
M7a2a3a,
M7b'c,
M7b,
M7b1,
