accession,seq_tech,geo_origin
HG01253,Illumina,"Medellin, Colombia"
HG01254,Illumina,"Medellin, Colombia"
HG01251,Illumina,"Medellin, Colombia"
HG01250,Illumina,"Medellin, Colombia"
HG01112,Illumina,"Medellin, Colombia"
HG01494,Illumina,"Medellin, Colombia"
HG01497,Illumina,"Medellin, Colombia"
HG01456,Illumina,"Medellin, Colombia"
HG01550,Illumina,"Medellin, Colombia"
HG01498,Illumina,"Medellin, Colombia"
HG01360,Illumina,"Medellin, Colombia"
HG01113,Illumina,"Medellin, Colombia"
HG01551,Illumina,"Medellin, Colombia"
HG01455,Illumina,"Medellin, Colombia"
HG01518,Illumina,Spain
HG01516,Illumina,Spain
HG01515,Illumina,Spain
HG01519,Illumina,Spain
HG01521,Illumina,Spain
NA19777,Illumina,"Los Angeles, California"
NA19779,Illumina,"Los Angeles, California"
NA19780,Illumina,"Los Angeles, California"
NA19782,Illumina,"Los Angeles, California"
NA19783,Illumina,"Los Angeles, California"
NA19788,Illumina,"Los Angeles, California"
NA19789,Illumina,"Los Angeles, California"
NA19776,Illumina,"Los Angeles, California"
NA19758,Illumina,"Los Angeles, California"
NA19747,Illumina,"Los Angeles, California"
NA19732,Illumina,"Los Angeles, California"
NA19731,Illumina,"Los Angeles, California"
NA19746,Illumina,"Los Angeles, California"
NA19750,Illumina,"Los Angeles, California"
NA19762,Illumina,"Los Angeles, California"
NA19755,Illumina,"Los Angeles, California"
NA19728,Illumina,"Los Angeles, California"
NA19770,Illumina,"Los Angeles, California"
NA19771,Illumina,"Los Angeles, California"
NA19761,Illumina,"Los Angeles, California"
NA19759,Illumina,"Los Angeles, California"
NA19729,Illumina,"Los Angeles, California"
NA19786,Illumina,"Los Angeles, California"
NA19785,Illumina,"Los Angeles, California"
NA19773,Illumina,"Los Angeles, California"
NA19756,Illumina,"Los Angeles, California"
NA19749,Illumina,"Los Angeles, California"
NA19774,Illumina,"Los Angeles, California"
HG01495,Illumina,"Medellin, Colombia"
HG01522,Illumina,Spain
HG01176,Illumina,Puerto Rico
HG01075,Illumina,Puerto Rico
HG01102,Illumina,Puerto Rico
HG01187,Illumina,Puerto Rico
HG01101,Illumina,Puerto Rico
HG01167,Illumina,Puerto Rico
HG01095,Illumina,Puerto Rico
HG01183,Illumina,Puerto Rico
HG01168,Illumina,Puerto Rico
HG01277,ABI_SOLID,"Medellin, Colombia"
HG01618,ABI_SOLID,Spain
HG01271,ABI_SOLID,"Medellin, Colombia"
HG01278,ABI_SOLID,NA
HG01623,ABI_SOLID,Spain
HG01275,ABI_SOLID,"Medellin, Colombia"
HG01344,ABI_SOLID,"Medellin, Colombia"
HG01272,ABI_SOLID,"Medellin, Colombia"
HG01274,ABI_SOLID,NA
HG01617,ABI_SOLID,Spain
HG01345,ABI_SOLID,"Medellin, Colombia"
HG01620,ABI_SOLID,Spain
HG01190,Illumina,Puerto Rico
HG01198,Illumina,Puerto Rico
HG01188,Illumina,Puerto Rico
HG01191,Illumina,Puerto Rico
HG01197,Illumina,Puerto Rico
HG01204,Illumina,Puerto Rico
HG01465,Illumina,"Medellin, Colombia"
HG01440,Illumina,"Medellin, Colombia"
HG01491,Illumina,"Medellin, Colombia"
HG01342,Illumina,"Medellin, Colombia"
HG01359,Illumina,"Medellin, Colombia"
HG01441,Illumina,"Medellin, Colombia"
HG01437,Illumina,"Medellin, Colombia"
HG01488,Illumina,"Medellin, Colombia"
HG01492,Illumina,"Medellin, Colombia"
HG01489,Illumina,"Medellin, Colombia"
