accession,seq_tech,geo_origin,source,asm_method,pub_title,first_aut,pubmed_id,pub_date
NA12891,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12489,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA18507,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA18940,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA20529,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20518,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20510,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20524,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20522,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20508,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20512,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20517,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20525,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20521,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20502,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20520,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20509,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20506,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20505,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20527,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20530,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20531,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20528,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20519,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20752,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20535,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20538,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20544,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20585,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20504,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20589,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20757,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA11893,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12775,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12347,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12348,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA20513,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA12383,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA20807,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
